Company Title,Department Name,Question
싸이버로지텍,백엔드개발자,알고리즘에 대해 많이 풀어 보는가요? 기억에 남는 것이 있었나요?
싸이버로지텍,백엔드개발자,자신을 한 단어로 표현해 보세요.
싸이버로지텍,백엔드개발자,제가 컵을 만들어달라고 할 건데 이 컵을 어떻게 만들지에 대해 질문해 보세요.
가비아,백엔드개발자,이전 직장들의 근속연수가 길지 않은 편인데 이유는 무엇인가?
가비아,백엔드개발자,PHP와 java의 차이점은 무엇인가?
가비아,웹개발자,(포트폴리오를 보고) 교내 경진대회 수상은 무슨 내용인가? 왜 수상했다고 생각했는가?
가비아,웹개발자,Kotlin으로 언어를 바꾼 것인가?
가비아,웹개발자,api통신은 왜 느린가?
가비아,개발,가비아를 자신의 친구들에게 소개시켜준다면 어떻게 소개시켜줄 것인가?
가비아,개발,가비아에 대해서 어떻게 알게 되었는가?
가비아,개발,기비아의 핵심사업에 대해 설명해보시오.
가비아,보안관제,"보안관제 직무를 지원했는데, 왜 보안관제 직무를 희망하는지 이유를 말해보시오."
가비아,IT·기술영업,평소에 가족들과 대화를 많이 하는 편인가?
가비아,개발,"리눅스 명령어, 디렉토리, 스크립트를 어떤 용도로 사용할 것인가?"
가비아,개발,이 직무를 몇년 동안 할 것 같나요?
나이스피앤아이,백엔드개발자,보안 관련해서 우리한테 설명해주고 싶은 게 있나요?
KT,R&D·연구원,SDN 관련하여서 연구 경험이 있는데 이에 대해 좀 더 깊게 말씀해 주세요
KT,R&D·연구원,(전공관련질문) Telemetry가 어떤 용도로 사용되는가요?
KT,R&D·연구원,본인이 이곳에서 선호하는 직무가 있을까요?
KT,R&D·연구원,대학원 코스웍이 어떻게 되고 무엇을 배웠는가요?
KT,R&D·연구원,(꼬리질문) 무슨 과제였나요?
KT,R&D·연구원,새로운 프로그래밍 언어를 배워야 하는데 잘 배울 수 있을까요?
KT,R&D·연구원,"채용 공고를 봤을 때 우대사항과 기본자격 항목이 있는데, 본인은 거기서 어떤 강점과 약점이 있다고 생각하나요?"
KT,R&D·연구원,(꼬리질문) 그럼 새로운 분야를 배울 때 어떤 방법이 가장 도움 되나요?
KT,통신엔지니어,본인의 석사기간 연구 주제는 무엇이었나요?
KT,통신엔지니어,수행했던 연구과제가 지원 직무와 어떤 연관이 있나요?
KT,통신엔지니어,문제풀이 내용과 관련하여 답변의 근거는 무엇인가요?
KT,시스템엔지니어,힘든점은 없었나요?
KT,네트워크엔지니어,자신이 기여할 수 있는 부분이 어떤 부분이라고 생각하나요?
KT,네트워크엔지니어,우리 회사에 지원한 이유는?
KT,네트워크엔지니어,무모한 도전을 해본 적 있습니까?
KT,네트워크엔지니어,"자기소개서를 보면 좋게말하면 다재다능이지만, 돌려말하면 직무에 연관된 점은 적은데 이건 어떻게 생각하십니까?"
KT,화학엔지니어,AMI가 단순히 통신장비인가?
KT,IT,빅데이터에 관해 설명해봐라.
KT,IT,황금주파수가 무엇인가?
KT,IT,"show, olleh, qook이 뭔지 아느냐 설명해봐라."
KT,네트워크엔지니어,KT의 장점과 그렇게 말할 수 있는 근거를 대보세요. 또한 그러한 KT의 장점을 잘 살릴 수 있는 방안에 대해서 말해보세요.
KT,IT>TI 컨설팅,본인이 했던 인턴 경험이 해당 직무와 어떻게 관련이 있는지 말해보시오.
KT,IT>SW솔루션 개발,전공이 KT에 어떤 기여를 할 수 있는지 설명하시오.
KT,IT,"교환학생을 다녀왔는데, 왜 다녀왔는가?"
KT,IT,"이 프로젝트를 한 이유는? 거기서 본인이 한 역할은 무엇이며, 무엇을 배웠는가?"
KT,IT,케이티에 대해 구글링해서 나오는 것을 제외하고 알고있는 것
KT,IT/인터넷,미래 KT의 계획에 대한 생각은 무엇입니까?
KT,네트워크엔지니어,프로젝트 도중 팀원과 갈등 상황이 생겼을 때의 해결 방법을 말해보세요.
KT,네트워크엔지니어,"IoT가 다음 세대의 화두가 될 것이라 얘기했는데, 생각해 본 상품이 있나요?"
KT,네트워크엔지니어,"네트워크에서 오류 제어 방식 중 backward 방식과 forward 방식이 있는데, 두 가지에 대해 아는 대로 설명해보세요."
KT,네트워크엔지니어,자기소개서에 있는 내용 말고 다른 프로젝트를 하면서 겪었던 어려움이 있나요?
KT,네트워크엔지니어,"지원자가 소프트웨어 개발을 좋아하는 것 같은데, KT는 개발과는 거리가 좀 있는 편입니다. 알고 있나요?"
KT,R&D(연구개발),지원자는 리더와 묵묵히 일하는 팀원 중 어느 유형에 속하나요?
KT,R&D,어떤 언어를 통해서 개발을 하였는가?
KT,R&D,학교에서 과제를 진행하면서 리더를 하면 후배들이나 동료들에게 일을 시켜야 하는데 어떻게 시켰나? 시키는데 힘든점은 무엇이었는가? 어떻게 해결했는가?
KT,R&D,Controller와 Switch간의 연결은 어떤 식으로 하는가?
KT,IT-인터넷,대학원 과정이 자신의 목표인지 과정인지를 답해보시오
KT,IT-인터넷,리눅스 유닉스 로그인 설정파일은?
KT,IT-인터넷,셔츠를 왜 다려오지 않았는가?
KT,IT-인터넷,최근 가장 감명받은 것은?
KT,IT-인터넷,KT 5대 미래 융합과제를 써놓았는데 뭔지 알고 있는가?
KT,R&D,자기소개 부탁드립니다.
신한카드,웹개발자,grpc는 왜 사용했나요?
신한카드,웹개발자,평소 자바에서 널처리나 에러 처리를 위해 사용한 적이 있나요?
신한카드,정보통신.IT,상사가 말도 안되는 불가능한 업무를 시킨다면 어떻게 대처하겠습니까?
신한카드,정보통신.IT,TA 관점에서 정보보안을 고려한 시스템 설계를 해보세요.
카카오스타일,백엔드개발자,http method들의 목적을 말해주세요.
카카오스타일,백엔드개발자,Transaction의 격리 수준에 관한 질문
현대자동차,기계엔지니어,LPF 설계 팀원 몇 명이었고 무슨 역할이었나요?
현대자동차,기계엔지니어,해석 결과가 사실 실제랑 corelation이 안 될 때가 많은데 실제로 검증해본 경험은 없나요?
현대자동차,기계엔지니어,프로젝트를 진행하며 어려웠던점은 무엇인가요?
현대자동차,기계엔지니어,"현대차의 수소산업, 넥쏘차량에 대해 아는 것 및 평가를 해보세요."
현대자동차,기계엔지니어,이력서에 기재된 수상내역을 처음부터 끝까지 설명해보세요.
현대자동차,기계엔지니어,"희망하는 직무가 제어 플랫폼 사양 평가 쪽인 것 같은데, 제어 로직 설계에는 관심이 있나요?"
현대자동차,기계엔지니어,진행했던 프로젝트중 'OO프로젝트'의 구성인원과 역할을 설명해보세요.
현대자동차,기계엔지니어,딥러닝을 수행하기 위해 굳이 로봇알고리즘 직무에 지원한 이유는 무엇인가요?
현대자동차,기계엔지니어,최근 뉴스기사 중 가장 기억에 남는 기사는?
현대자동차,기계엔지니어,전시까지 얼마남지 않은 상황에서 새로운 아이디어에 대해 어느정도 성공가능성을 생각한건가?
현대자동차,기계엔지니어,(직무역량) 2번째 대안은 발열이 높다는 단점이 있다. 이를 해결할 방안은 있는가?
현대자동차,기계엔지니어,(직무역량) 제시된 문제를 해결하기 위한 3가지 대안 중 왜 2번째 대안을 선택하였는가?
현대자동차,기계엔지니어,"(핵심역량) 친구가 다른 친구에게 소개한다고 했을 때, 당신을 한 단어로 뭐라고 소개하겠는가?"
현대자동차,R&D(연구개발),어떤 전공 지식이 설계에 적용이 될 수 있을까요?
현대자동차,R&D(연구개발),기사에서 나온 얘기 말고 직접 현대자동차를 운전하면서 느낀 장단점은 무엇인가요?
현대자동차,R&D(연구개발),변속기를 다단화시킬 수 있는 방법 중에 본인이 창의적으로 생각해 본 해결 방안이 있습니까?
현대자동차,R&D(연구개발),오늘 면접이 안되면 받았던 것 모두 돌려줘야겠네요?
현대자동차,R&D(연구개발),글로벌 엔지니어의 꿈을 이루기 위해서 몇 년이 필요한가?
현대자동차,R&D(연구개발),기업의 복리후생을 아십니까?
현대자동차,R&D(연구개발),본인의 역할로 인한 결과는 어떻습니까?
현대자동차,R&D(연구개발),아침밥을 먹고 왔나요?
현대자동차,R&D(연구개발),에어 서스펜션이 들어간 현대자동차의 차량을 말해보시오
현대자동차,R&D(연구개발),인생에서 가장 도전적이었던 경험은 무엇입니까?
현대자동차,R&D(연구개발),취미가 무엇이고 취미를 가지게 된 계기가 있나요?
현대자동차,R&D(연구개발),행복합니까?
현대자동차,R&D(연구개발),현대파워텍과 현대자동차를 비교해보시오
현대자동차,연구개발,"회사에서 귀하에게 7,000만원이라는 연봉을 지급하면, 당신은 회사를 위해 무엇을 할 것인가?"
현대자동차,연구개발,친구들간의 다툼이 있을때 중간에서의 본인의 해결책은 무엇인가요?
현대자동차,연구개발,전공과 관련하여 수행한 프로젝트가 있는가?
현대자동차,연구개발,가솔린 기관과 디젤 기관의 차이를 3가지 기준으로 말헤보시오
현대오토에버,백엔드개발자,자신에게 만약 다른 직무가 주어진다면?
현대오토에버,앱개발자,비전공자로써 SW개발역량을 키우기 위해 어떤노력들을 해왔나요?
현대오토에버,백엔드개발자,본인 PR을 30초간 해주세요.
현대오토에버,AI/ML엔지니어,1x1컨볼루션이 왜 필요한지 말해보세요.
현대오토에버,AI/ML엔지니어,주로 어떤 딥러닝 아키텍쳐를 선호하나요?
현대오토에버,AI/ML엔지니어,visual slam과 odometry 기술을 사용한 경험이 있나요?
현대오토에버,AI/ML엔지니어,"현대오토에버가 나아가야 할 방향에 대해서, 신문이나 기사를 제외한 본인만의 생각을 서술하시오."
현대오토에버,AI/ML엔지니어,(공백기가 있는 지원자에게) 저번 공채에는 본인이 왜 떨어졌다고 생각하는가?
현대오토에버,AI/ML엔지니어,"본인을 뽑아야하는 경쟁력, 강점 혹은 본인만의 스토리를 말해보세요."
현대오토에버,IT영업,자신만의 특출난 점이 있는가? 무엇인지 말해보시오.
현대오토에버,시스템엔지니어,(영어면접) 장거리로 비행기를 탈 때 주로 무엇을 하나요?
현대오토에버,시스템엔지니어,"공모전에서 상을 탔었는데, 그건 무슨 상이었나요?"
현대오토에버,IT-일반,오토에버의 어떤 직무에 지원했는가?
새마을금고중앙회,앱개발자,나이 차이가 많이 나는 상사와 잘 지낼 수 있는지?
새마을금고중앙회,앱개발자,본인은 리더인가 팔로워인가
새마을금고중앙회,앱개발자,리더로서 가져야 할 자질은?
새마을금고중앙회,앱개발자,스프링 프레임워크의 특징은?
인천교통공사,기계엔지니어,지하철 공조시스템의 원리는?
인천교통공사,전기·전자엔지니어,ATO가 뭔가 ?
인천교통공사,전기·전자엔지니어,어떻게 적응력을 키워왔나?
케이워터기술,전기·전자엔지니어,"요즘 친환경문제가 대두되고 있는데요. 포괄적인 질문입니다. 댐을 증축하는 게 중요하다고 생각하는지, 아니면 기존의 수자원시설을 유지보수하는 게 더 중요하다고 생각하는지, 궁금합니다."
케이워터기술,전기·전자엔지니어,(자소서 질문) 학부 시절에 배웠던 '아두이노'를 공부하면서 어떤 역할을 맡았나요?
삼성바이오로직스,연구개발,삼성바이오로직스가 하는 일은?
삼성바이오로직스,연구개발,통형 용기 설계시 원주방향 응력과 축방향 응력 중 어떤 응력을 기준으로 설계해야하나?
삼성바이오로직스,연구개발,gmp는 어떤것의 약자인가?
중소기업은행,앱개발자,은행원이 되기 위해서 언제부터 준비하였고 어떠한 노력을 하였는지 말해보세요
중소기업은행,앱개발자,금융 관련 IT 뉴스를 자주 본다고 했는데 빅데이터에 대해서 설명해보세요.
한국전력공사,전기·전자엔지니어,HVDC를 이룩하기 위해서는 정치적으로 북한과 관계과 완화되어야 할 것인데 이를 어떻게 해결하겠나요?
한국전력공사,전기·전자엔지니어,1차면접 / HVDC란?
한국전력공사,전기·전자엔지니어,1차 면접 / 단로기와 차단기의 차이점은?
한국전력공사,전기·전자엔지니어,2차면접 / 자기소개서에 마라톤을 했다고 했는데 왜했는지?
한국전력공사,전기·전자엔지니어,앞에 노트북 전력소모량 몇 같아요?
한국전력공사,전기·전자엔지니어,110V보다 220V를 사용하면 좋은 이유는?
한국전력공사,전기·전자엔지니어,NCS의 다양한 과목 중 하나를 정해 본인에게 대입하고 기르기 위한 노력을 말해보아라.
한국전력공사,전기·전자엔지니어,피뢰기 구비조건을 아시나요?
한국전력공사,전기·전자엔지니어,한국전력공사 인재상중 한가지를 선택해보세요.
한국전력공사,전기·전자엔지니어,"태양광발전이 한전에 미치는 영향은 손실인가, 이익인가?"
한국전력공사,정보통신.IT,한국전력공사의 PLC통신 사업에서 자신이 배운 기술을 어떻게 활용할 것인가요?
한국전력공사,정보통신.IT,OSI 7계층에서 3계층과 4계층이 하는 역할에 대해 설명해보시오.
에이치디현대인프라코어,R&D,어떠한 일이나 문제가 발생했을 때 그것을 개선하거나 해결하기 위해서 창의적인 방법으로 접근했던 경험을 말해보시오
서진오토모티브,연구개발,본인이 잘한다고 한 프로그램을 어느정도 수준까지 활용 가능한가?
퓨쳐시스템,보안관제,정보보안이 뭡니까? 왜 보안관제업체에게 외주를 줍니까? 방화벽에 대해서 아는대로 말씀해보세요?
현대중공업,기계엔지니어,"프로그래밍을 했다고 했는데, 해당 내용을 회사에 합격하게 된다면 구현이 가능한지?"
현대중공업,기계엔지니어,증기관 내부 유동 해석을 할 때 본인이 한 연구가 왜 중요한지?
유한회사스태츠칩팩코리아,반도체엔지니어,"다른 곳 면접이 있다던가, 어디 지원한 회사있나요?"
유한회사스태츠칩팩코리아,반도체엔지니어,전공정 관련 경험은 있는데 후공정 없네요?
유한회사스태츠칩팩코리아,반도체엔지니어,노가다 해봤나요?
