occupation,직무내용
프론트엔드개발자,"담당업무
React, GraphQL 을 활용하여 다양한 웹서비스를 구현합니다.
D3.js 기반으로 데이터 시각화 모듈을 개발하고, 해당 라이브러리의 오픈소스화에 기여합니다.
SEO를 통한 트래픽 향상에 기여하며 이를 지속적으로 관리합니다.
치열한 코드 리뷰와 기술 논의를 통해 최고 수준의 코드 품질을 유지합니다.
ERD, 스키마 설계를 통해 응용 프로그램의 개념적, 논리적 완결성을 높입니다.  
기존 제품의 유지관리 및 지속 가능성을 높이기 위한 내부 모듈을 설계하고 유지관리 합니다.


자격요건
3년 미만의 프론트엔드 개발 경력 혹은 유사 수준의 개발 역량이 있으신 분
(경력 1-2년 내외 지원자의 경우에는 Home-Test (사전과제) 가 진행됩니다.)
Javascript, HTML, CSS에 대한 높은 기술적 이해도를 가지고 있는 분
React를 사용해 본 경험이 있는 분 
수동적 업무 수행보다는 항상 ‘왜?’에 대해 고민하고, 더 나은 ‘추상화’ 를 위해 끊임없이 노력하시는 분
기술적 타협과 지름길을 지양하며 높은 에너지와 끈기를 가지고 빠르게 성장할 수 있는 분
개념적, 논리적 설계의 완결성에 대한 필요성에 대해 공감하시는 분 



우대사항
GraphQL에 대한 높은 이해도를 가지고 있는 분
높은 수준으로 Typescript를 사용할 수 있는 분 
D3 기반의 data visualization에 대한 경험이 있는 분
높은 수준의 SEO 관리 경험이 있는 분
Framework에 종속되지 않은 근본적인 개발에 대한 경험이 있는 분
컴퓨터 공학 연관 전공 학위를 소지하신 분
비즈니스 레벨의 영어 커뮤니케이션이 가능하신 분
"
프론트엔드개발자,"1. 담당 업무
React 또는 Vue3 기반 Frontend 개발
Kubernetes 환경에서 Frontend 배포 및 Pod Template 작성 (우대 사항)
2. 필수 자격 요건
Frontend 개발
Vue3 (Composition API 활용 가능)
Typescript 기반 개발 경험
Redux Toolkit / Zustand / Pinia 등 상태 관리 경험
RESTful API 및 WebSocket을 활용한 비동기 통신
Tailwind CSS 또는 SCSS/SASS를 활용한 스타일링
협업 및 코드 품질 관리
Git (GitHub, GitLab, Bitbucket 등) 브랜치 전략 활용 경험
코드 리뷰 및 PR 작성 경험
Unit Test 및 E2E Test 경험
3. 우대 사항
프로젝트 이력
Commercial project Frontend 경험
Commercial project 웹 애플리케이션 개발 및 배포 경험
Frontend 개발
    React.js (Next.js 경험 우대) 
OAuth2 인증 경험
M365 OAuth2 또는 Google OAuth2 로그인 연동 경험
OAuth2 인증을 통한 JWT 발급 및 토큰 관리 경험
CI/CD 및 배포 관련
Docker 를 활용한 컨테이너라이징 경험
Kubernetes 환경에서 Frontend Pod 배포 경험 (Helm Chart 작성 가능 시 우대)
Kubernetes Rolling Update 또는 Blue-Green Deployment 활용 경험
ArgoCD, GitOps 기반 배포 경험
Backend 협업 경험
FastAPI, Node.js 기반의 API와 연동 경험
FastAPI, Node.js 또는 Spring 기반의 Backend 개발 경험
UI/UX 개선
Figma 를 활용한 UI/UX 협업 경험
Storybook 활용 경험"
프론트엔드,"Frontend 개발자
( ○명 )
담당업무
ㆍReact, Vue 등 morden web을 통한 웹 빌드
ㆍcomponent  제작
ㆍ유관 부서 Communication 
ㆍHTML5, CSS, SCSS 등 표준에 입각한 개발
ㆍTS 혹은 Javascript를 이용한 개발
ㆍFlutter를 이용한 멀티 플랫폼 앱 제작

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 신입/ 경력 5년이상

우대사항
ㆍReact, Vue등 모던웹을 통한 개발 경험이 있는 자
ㆍComponent 제작 경험이 있는 자
ㆍFlutter 개발 및 서비스 경험이 있는 자"
백엔드개발자,"
Backend 개발자
( ○명 )
담당업무
ㆍAPI (REST 혹은 GraphQL) 제작
ㆍJava, Python, GoLang 등 기반 서비스 제작
ㆍCI/CD 및 kubernetes 자동화
ㆍ데이터 모델 설계
ㆍ리펙토링을 통한 표준화 업무

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 경력무관(신입 지원 가능)

우대사항
ㆍAPI 제작 경험이 있는 자
ㆍ클라우드 환경 (NAVER , AWS 등)에 경험이 있는 자
ㆍDevOPS 등 OPS 환경에 경험이 있는 자
ㆍ다양한 데이터베이스 연동 경험이 있는 자
"
프론트엔드개발자,"프론트엔드
( 1명 )
담당업무
ㆍFrontend 개발

스킬
ㆍReact, Typescript, CSS3, HTML5

자격요건
ㆍ학력 : 대졸이상 (졸업예정자 가능)
ㆍ경력 : 신입

우대사항
ㆍ영어가능자
ㆍGitOps 유경험자 / React 프레임워크 유경험자 / 커뮤니케이션 원활 하신분"
"프론트엔드개발자,앱개발자,웹퍼블리셔","
모집분야  / 담당업무 / 모집인원
자격요건 
[모집분야] 
Frontend UX Engineer 
(웹접근성, SEO, 시맨틱마크업을 철저히 지키며
+  2D/3D Immersive Website 개발 )

[담당업무] 
- 국내외 디지털 마케팅 프로젝트 구축 및 운영
- 국내외  3D WebGL기반 하이엔드 웹사이트  개발
- 2D/3D 인터랙션 강한 Immersive Web 개발
- 국내외 웹사이트 트렌드 연구
- WebGL, GSAP, Vanilla Javascript, HTML, CSS 등을 사용하여 다양한 동적UI 개발
- React, Next.js 등 프론트엔드 개발

[모집인원] 
- 신입 :  O명
- 경력 3년 이상 :  O명
- 경력 7년 이상 :  O명


[필수조건] 
전세계에서 가장 멋진 웹사이트를 
만들고 싶은 욕심 있는 분 
살아 움직이는 웹사이트 제작에 
강한 호기심을 가진 분
해외여행 결격 사유가 없는 분
학력 무관

[우대조건]
WebGL, Three.js 등 3D 모션에 관심 많은 분 
국내외 웹에이전시 및 광고기획/대행사 등 동종 업계 재직 경험 
새로운 도전에 대한 호기심 강한 분 
디자인 감각이 좋으신 분 
영어 말하기 가능한 분
영어 배우고 싶은 분
헬스장 다니는 분
생활스포츠지도사2급 자격증
정보처리기사 자격증
"
"웹개발자,앱개발자","Flutter
( 00명 )
담당업무
ㆍe스포츠 게임 플랫폼 front-end 개발
ㆍ커뮤니티 플랫폼  front-end 개발

자격요건
ㆍ학력 : 대졸이상
ㆍ전공 : 공학계열 혹은 관련 경력 1년이상
ㆍFlutter를 이용한 앱 개발 경험자 
ㆍHTML, CSS, JavaScript를 능숙하게 다룰 수 있는 자

우대사항
ㆍC/C++ 언어에 능숙한 자
ㆍ팀원과의 소통을 통해 문제해결을 원할히 할 수 있는 자
ㆍGit 사용에 능숙한 자"
"웹개발자,앱개발자,DBA","Web 프로그램
(Front/Back-End)

Web 서버 프로그램  개발업무

(  HTML, CSS, JS 등 Front 및
  Java, JSP 등 Back - End 부분
  프로그래밍 작업 )
[자격요건]
ㆍ 웹 어플리케이션 개발이 가능하신 분                                                                                                      2명 
[우대요건] 
ㆍ TOMCAT 환경의 개발 경험자 우대
ㆍ .NET 환경과 C# 개발 가능자도 우대 "
백엔드개발자,"연구소 시스템 개발자 신입 모집( 1명 )
담당업무
ㆍ 솔루션 개발 전문 연구원 모집
ㆍ 최고의 기술자로 성장 보장 
ㆍ Front-end 및 Backend 전문교육기간 수료자 및 개발 경험 보유자
ㆍ React, Javascript 및 Java로 개발된 Call Center 솔루션 개발 업무 수행 
ㆍ 연구소 내 수석 선임자와 공동으로 개발 업무 수행
      선임 연구원이 모든 기술에 대하여 교육 및 Level-up 진행함 
ㆍ 당사 자체 구축하여 운영중인 솔루션 연구 개발(PDS, ACS, CM, CTI, IVR, REC) 
     - 당사가 보유중인 PDS 등은 국내/외 최고의 솔루션임
       (주력 고객으로 금융권 및 생보사, 홈쇼핑 등 주력)
ㆍ Linux 시스템 내 이중화 등 스페셜 개발 경험 기회 부여 

자격요건
ㆍ학력 : 대학교(4년) 이상만 지원 가능
ㆍ경력 : 신입 (졸업예정자 포함)
ㆍ전문 교육기관에서 React, JavaScript, CSS, Java, DB등 교육 이수자
ㆍLinux 시스템 이해도가 있으신 분
ㆍ최고의 전문가로 성장하고 싶으신 분 

우대사항 
ㆍ오픈소스 활동 경험 및 최신 기술에 대한 이해와 빠른 습득 능력을 갖추신 분 
ㆍ시스템 개발에 대한 열정이 있으신 분  "
백엔드개발자,"
담당업무
ㆍ보안 포털 및 보안 솔루션 개발
ㆍJava, Spring Boot, JSP 기반 웹 애플리케이션 개발
ㆍFrontend 개발 (Javascript, HTML, CSS, jQuery 활용)
ㆍ시스템 유지보수 및 성능 최적화

스킬
ㆍJava, Javascript, JSP을 활용한 개발경험 
ㆍLinux 환경에서 개발 경험 보유
ㆍJavaScript, HTML, CSS 및 jQuery 활용 가능자

자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 신입·경력

우대사항
ㆍ인근거주자
ㆍ보안 솔루션 및 보안 관련 프로젝트 경험 보유자 
ㆍLinux 시스템 및 미들웨어(Nginx, Tomcat) 운영 경험 우대
ㆍ정보처리기사 자격증 보유자 우대
ㆍ관련 전공자 우대 (전산학, 컴퓨터 공학, 응용소프트웨어 공학, 정보통신공학 등)"
